# Time-averaged data for fix ave_n
# TimeStep v_n_na_l v_n_cl_l v_n_na_r v_n_cl_r
5000 398 400 399 400
10000 397 398 399 400
15000 396 396 399 400
20000 397 397 399 400
25000 397 398 399 399
30000 396 396 398 398
35000 396 396 397 398
40000 396 396 398 398
45000 396 396 397 398
50000 396 395 397 398
55000 396 397 397 398
60000 396 396 397 398
65000 396 394 398 398
70000 394 394 398 398
75000 395 394 398 398
80000 395 394 397 398
85000 395 394 397 397
90000 394 394 397 397
95000 394 394 398 397
100000 394 394 398 398
105000 394 394 398 398
110000 394 394 397 398
115000 394 395 397 398
120000 394 395 398 398
125000 393 395 397 398
130000 393 395 396 399
135000 394 395 396 398
140000 393 394 396 399
145000 393 395 396 399
150000 394 394 396 399
155000 394 394 396 399
160000 394 395 396 399
165000 394 394 396 398
170000 393 393 395 398
175000 393 394 395 398
180000 393 391 395 399
185000 393 391 395 398
190000 393 388 398 398
195000 395 388 397 399
200000 395 388 397 399
205000 395 390 397 399
210000 395 389 397 399
215000 395 389 398 399
220000 393 390 396 399
225000 395 390 398 399
230000 395 389 398 399
235000 396 390 397 398
240000 396 390 397 399
245000 395 390 398 398
250000 395 390 398 398
255000 395 391 398 398
260000 394 390 398 398
265000 394 390 397 398
270000 393 390 397 398
275000 393 390 397 398
280000 394 390 397 398
285000 394 390 397 398
290000 394 390 396 397
295000 394 390 397 399
300000 394 390 397 399
305000 394 390 398 398
310000 395 390 398 398
315000 394 390 397 398
320000 394 390 397 398
325000 394 390 397 398
330000 394 390 397 398
335000 394 390 397 398
340000 395 389 397 398
345000 395 389 397 398
350000 394 389 396 398
355000 394 389 397 398
360000 395 389 397 398
365000 395 389 398 397
370000 395 389 397 397
375000 395 389 397 397
380000 395 388 397 397
385000 395 388 397 397
390000 393 389 398 397
395000 393 388 398 397
400000 393 388 397 397
405000 393 388 397 397
410000 393 388 397 397
415000 392 386 397 397
420000 393 388 397 397
425000 392 387 397 397
430000 392 386 397 397
435000 392 386 396 397
440000 392 386 396 397
445000 392 387 397 398
450000 392 387 397 398
455000 392 387 397 396
460000 392 387 397 397
465000 392 387 397 397
470000 392 387 397 397
475000 392 388 398 396
480000 392 388 398 396
485000 392 388 398 397
490000 392 388 398 397
495000 393 387 397 397
500000 392 387 396 397
505000 393 387 396 397
510000 393 387 398 397
515000 392 389 397 397
520000 392 389 397 397
525000 392 390 397 397
530000 392 390 396 397
535000 392 390 396 397
540000 392 388 397 397
545000 392 389 397 397
550000 392 388 397 398
555000 392 389 397 398
560000 392 388 397 398
565000 392 388 397 398
570000 392 389 397 398
575000 392 389 397 398
580000 392 389 397 398
585000 392 387 397 398
590000 392 389 396 398
595000 393 388 396 398
600000 393 388 396 398
605000 392 389 396 398
610000 392 388 396 398
615000 391 388 396 398
620000 392 387 395 396
625000 392 388 395 396
630000 391 387 395 396
635000 392 387 395 396
640000 392 387 395 396
645000 392 388 395 395
650000 392 388 394 396
655000 392 387 396 396
660000 392 386 395 396
665000 392 386 396 397
670000 392 387 396 395
675000 392 387 395 395
680000 392 387 396 396
685000 392 387 396 396
690000 392 386 396 396
