# Time-averaged data for fix ave_n
# TimeStep v_n_na_l v_n_cl_l v_n_na_r v_n_cl_r
5000 399 400 400 399
10000 399 400 399 400
15000 398 400 399 400
20000 398 400 399 399
25000 398 400 399 398
30000 399 400 399 397
35000 399 400 398 397
40000 399 400 398 398
45000 399 400 398 399
50000 397 400 398 399
55000 399 399 398 399
60000 397 399 397 398
65000 398 398 397 398
70000 397 399 397 397
75000 396 399 397 398
80000 397 398 397 396
85000 398 398 397 396
90000 398 398 397 396
95000 398 398 396 397
100000 399 397 398 396
105000 397 398 398 396
110000 397 397 398 396
115000 397 397 398 396
120000 397 398 398 397
125000 398 398 397 397
130000 398 397 396 398
135000 398 398 396 397
140000 399 398 395 399
145000 397 397 396 397
150000 397 397 396 398
155000 397 397 396 396
160000 397 397 394 394
165000 397 397 396 394
170000 397 396 396 395
175000 398 396 395 395
180000 396 396 395 396
185000 396 397 395 396
190000 395 397 395 396
195000 396 396 396 396
200000 395 395 396 396
205000 394 395 396 397
210000 395 395 396 396
215000 395 396 395 396
220000 395 395 395 396
225000 395 396 396 397
230000 394 396 396 397
235000 394 396 395 396
240000 395 395 394 396
245000 395 395 394 394
250000 395 395 393 395
255000 395 395 393 394
260000 395 394 393 395
265000 394 393 395 396
270000 394 394 394 395
275000 394 394 394 395
280000 393 392 395 396
285000 394 393 394 395
290000 394 393 393 396
295000 394 393 394 395
300000 394 392 394 394
305000 393 392 394 393
310000 393 393 392 393
315000 393 392 394 393
320000 393 393 393 392
325000 393 392 393 393
330000 393 392 393 394
335000 392 392 394 394
340000 392 392 393 394
345000 392 391 392 393
350000 392 391 393 393
355000 392 391 392 393
360000 392 392 391 394
365000 393 391 391 393
370000 393 391 390 393
375000 393 391 391 392
380000 393 391 392 394
385000 392 392 392 394
390000 393 391 391 394
395000 393 392 391 394
400000 393 392 392 395
405000 394 392 393 395
410000 393 392 392 396
415000 394 392 392 397
420000 394 392 392 397
425000 394 392 391 396
430000 394 392 393 396
435000 394 391 391 396
440000 392 391 391 396
445000 392 392 391 396
450000 392 391 391 396
455000 393 392 391 394
460000 392 392 391 393
465000 393 392 392 394
470000 393 392 392 394
475000 392 392 392 396
480000 394 392 392 395
485000 393 393 392 396
490000 393 393 392 397
495000 394 392 392 396
500000 394 392 391 395
505000 393 391 390 396
510000 392 392 390 394
515000 393 391 388 395
520000 392 391 387 395
525000 392 390 389 394
530000 392 390 388 395
535000 393 391 388 393
540000 393 391 390 391
545000 393 391 389 390
550000 392 391 390 391
555000 393 390 390 391
560000 394 391 388 393
565000 391 391 388 392
570000 394 390 388 392
575000 392 389 389 393
580000 392 390 388 392
585000 393 391 388 393
590000 391 392 387 393
595000 392 392 387 393
600000 390 392 388 393
605000 391 391 389 392
610000 388 392 387 392
615000 389 391 388 391
620000 388 391 388 392
625000 388 391 388 392
630000 388 391 387 393
635000 387 391 388 392
640000 387 391 388 392
645000 388 391 388 392
650000 388 390 388 391
655000 388 391 387 391
660000 387 391 388 391
665000 387 391 388 391
670000 387 391 387 391
675000 387 391 387 392
680000 387 390 388 392
685000 387 390 388 392
690000 388 390 388 392
695000 387 390 387 391
700000 388 389 386 392
705000 388 389 387 391
710000 387 389 386 392
715000 387 390 386 392
720000 387 390 385 392
725000 387 390 386 391
730000 387 390 385 392
735000 387 390 386 392
740000 387 390 386 391
745000 387 389 386 390
750000 384 389 386 390
755000 384 390 386 389
760000 384 392 387 390
765000 384 391 387 391
770000 384 392 386 390
775000 384 393 386 390
780000 384 393 385 390
785000 385 393 385 389
790000 384 392 384 388
795000 384 391 385 389
800000 384 390 387 389
