# Time-averaged data for fix ave_n
# TimeStep v_nhl v_nal v_nhr v_nar
10000 389 398 384 399
20000 389 398 384 399
30000 389 398 384 399
40000 389 398 384 399
50000 389 398 384 399
60000 389 398 384 399
70000 389 398 384 399
80000 389 398 384 399
90000 389 398 384 399
100000 389 398 384 399
110000 389 398 384 399
120000 389 398 384 399
130000 389 398 384 399
140000 389 398 384 399
150000 389 398 384 399
160000 389 398 384 399
170000 389 398 384 399
180000 389 398 384 399
190000 389 398 384 399
200000 389 398 384 399
